deck,category,question,option_a,option_b,option_c,option_d,answer,note,source
"Star Wars 1 · Foundations","TV & standalone films","What species is Ahsoka Tano?","Twi'lek","Zabrak","Mirialan","Togruta","Togruta","Ahsoka is a Togruta, with head-tails and horn-like montrals.","https://www.starwars.com/databank/ahsoka-tano"
"Star Wars 1 · Foundations","TV & standalone films","Which Rogue One character is the daughter of Death Star engineer Galen Erso?","Jyn Erso","Mon Mothma","Qi'ra","Hera Syndulla","Jyn Erso","Jyn helps steal the plans for the weapon her father secretly sabotaged.","https://www.starwars.com/databank/jyn-erso"
"Star Wars 1 · Foundations","TV & standalone films","From which world are the Death Star plans stolen in Rogue One?","Jedha","Scarif","Eadu","Yavin 4","Scarif","The Imperial archive on Scarif holds the plans; Jedha is the earlier kyber-mining location.","https://www.starwars.com/databank/scarif"
"Star Wars 1 · Foundations","TV & standalone films","Which reprogrammed Imperial security droid works with Cassian Andor?","IG-88","L3-37","K-2SO","C-3PO","K-2SO","K-2SO helps Cassian and Jyn on the Scarif mission in Rogue One.","https://www.starwars.com/databank/k-2so-kay-tuesso"
"Star Wars 1 · Foundations","TV & standalone films","Which metal is prized for Mandalorian armor?","Carbonite","Coaxium","Durasteel","Beskar","Beskar","Beskar can withstand blaster fire and lightsaber strikes.","https://www.starwars.com/databank/beskar"
"Star Wars 1 · Foundations","Cast & filmmaking","Who created Star Wars and directed the original 1977 film?","George Lucas","Steven Spielberg","Irvin Kershner","Richard Marquand","George Lucas","Lucas directed A New Hope; Kershner directed The Empire Strikes Back.","https://www.starwars.com/films/star-wars-episode-iv-a-new-hope"
"Star Wars 1 · Foundations","Cast & filmmaking","In which year did the original Star Wars film first reach US cinemas?","1975","1977","1980","1983","1977","Star Wars opened on May 25, 1977; it later became known as Episode IV: A New Hope.","https://www.starwars.com/films/star-wars-episode-iv-a-new-hope"
"Star Wars 1 · Foundations","Cast & filmmaking","Which episode number belongs to A New Hope?","I","III","IV","VI","IV","Release order begins with IV, V, VI; story order begins with I, II, III.","https://www.starwars.com/films/star-wars-episode-iv-a-new-hope"
"Star Wars 1 · Foundations","Cast & filmmaking","Who composed the scores for all nine Skywalker saga films?","Hans Zimmer","Michael Giacchino","Ludwig Göransson","John Williams","John Williams","John Williams scored Episodes I–IX; Giacchino scored Rogue One.","https://www.starwars.com/news/john-williams-birthday"
"Star Wars 1 · Foundations","Cast & filmmaking","Who plays Luke Skywalker in the original trilogy?","Mark Hamill","Harrison Ford","Hayden Christensen","Ewan McGregor","Mark Hamill","Hamill plays Luke; Ford plays Han Solo.","https://www.starwars.com/films/star-wars-episode-iv-a-new-hope"
"Star Wars 1 · Foundations","Cast & filmmaking","Who plays Princess Leia in the original trilogy?","Natalie Portman","Carrie Fisher","Daisy Ridley","Felicity Jones","Carrie Fisher","Fisher plays Leia; Portman plays her mother Padmé in the prequels.","https://www.starwars.com/films/star-wars-episode-iv-a-new-hope"
"Star Wars 1 · Foundations","Cast & filmmaking","Who supplies Darth Vader's iconic speaking voice in the original trilogy?","David Prowse","Ian McDiarmid","James Earl Jones","Peter Mayhew","James Earl Jones","James Earl Jones voices Vader; David Prowse performs the armored role.","https://www.starwars.com/news/james-earl-jones"
"Star Wars 1 · Foundations","Cast & filmmaking","Which actor plays the younger Obi-Wan in the prequel trilogy?","Alec Guinness","Liam Neeson","Hayden Christensen","Ewan McGregor","Ewan McGregor","McGregor plays the younger Obi-Wan; Guinness plays him in the original trilogy.","https://www.starwars.com/films/star-wars-episode-i-the-phantom-menace"
"Star Wars 1 · Foundations","Quotes & trivia traps","What does Vader actually say when revealing Luke's parentage in The Empire Strikes Back?","No, I am your father.","Luke, I am your father.","Yes, I am your father.","Obi-Wan is your father.","No, I am your father.","The line starts with ""No,"" not ""Luke""; it corrects Luke's claim that Vader killed his father.","https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back"
"Star Wars 1 · Foundations","Quotes & trivia traps","In Han's Kessel Run boast, a parsec is a unit of what?","Time","Distance","Speed","Energy","Distance","A parsec measures distance, about 3.26 light-years; Han boasts of less than twelve parsecs.","https://science.nasa.gov/solar-system/cosmic-distances/"
"Star Wars 1 · Foundations","Quotes & trivia traps","Who says ""It's a trap!"" during the Battle of Endor?","Lando Calrissian","Mon Mothma","Admiral Ackbar","Wedge Antilles","Admiral Ackbar","Ackbar realizes the Rebel fleet has entered an Imperial ambush.","https://www.starwars.com/databank/admiral-ackbar"
"Star Wars 1 · Foundations","Quotes & trivia traps","How does Han reply to Leia's ""I love you"" before he is frozen?","I love you too.","Always.","May the Force be with you.","I know.","I know.","Han replies ""I know"" in The Empire Strikes Back; Leia later echoes it in Return of the Jedi.","https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back"
"Star Wars 1 · Foundations","Quotes & trivia traps","Who says ""Do. Or do not. There is no try""?","Yoda","Obi-Wan Kenobi","Qui-Gon Jinn","Luke Skywalker","Yoda","Yoda says this while training Luke on Dagobah.","https://www.starwars.com/databank/yoda"
"Star Wars 1 · Foundations","Quotes & trivia traps","Who pilots the Millennium Falcon during the attack on the second Death Star?","Han Solo","Lando Calrissian","Luke Skywalker","Rey","Lando Calrissian","Lando flies with Nien Nunb while Han leads the mission on Endor's surface.","https://www.starwars.com/databank/millennium-falcon"
"Star Wars 1 · Foundations","Quotes & trivia traps","What color is Luke's own lightsaber blade in Return of the Jedi?","Blue","Purple","Green","Red","Green","Luke builds a green-bladed saber after losing his father's blue one on Bespin.","https://www.starwars.com/databank/luke-skywalker"
"Star Wars 1 · Foundations","Quotes & trivia traps","Which date is celebrated as Star Wars Day through a ""May the Force"" pun?","May 25","July 4","March 4","May 4","May 4","""May the Fourth be with you"" gives the celebration its date; May 25 is the original film's release date.","https://www.starwars.com/star-wars-day"
"Star Wars 2 · Film details","A New Hope","Which docking bay in Mos Eisley holds the Falcon when Luke first sees it?","94","1138","2187","327","94","Docking Bay 94 is the Mos Eisley departure point.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","A New Hope","Which bounty hunter confronts Han at his cantina table?","Bossk","Greedo","Dengar","IG-88","Greedo","Greedo corners Han over his debt to Jabba.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","A New Hope","What creature drags Luke under the trash-compactor water?","Rancor","Sarlacc","Dianoga","Wampa","Dianoga","A dianoga lurks beneath the garbage and shows a single eyestalk.","https://www.starwars.com/news/creature-feature-8-things-you-might-not-know-about-the-dianoga"
"Star Wars 2 · Film details","A New Hope","What is the number of Leia's Death Star prison cell?","1138","94","66","2187","2187","Cell 2187 sits in detention block AA-23; cell and block are different answers.","https://www.starwars.com/news/quiz-star-wars-a-new-hope-behind-the-scenes-trivia"
"Star Wars 2 · Film details","A New Hope","What fault makes Owen reject the red droid R5-D4?","A bad motivator","A broken antenna","A missing restraining bolt","A cracked photoreceptor","A bad motivator","R5-D4's bad motivator leads Owen to take R2-D2 instead.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","A New Hope","Which Imperial officer mocks Vader's ""sorcerer's ways""?","General Veers","Admiral Motti","Captain Needa","Admiral Piett","Admiral Motti","Vader Force-chokes Motti for his lack of faith.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","A New Hope","How wide is the Death Star exhaust-port target described at the Rebel briefing?","Half a meter","One meter","Two meters","Ten meters","Two meters","Luke compares the two-meter target with the womp rats he used to shoot.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 2 · Film details","A New Hope","What device fires small bolts at Luke during his first lightsaber lesson aboard the Falcon?","An interrogation droid","A probe droid","An astromech","A training remote","A training remote","Luke learns to deflect the remote's bolts without relying on his eyes.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","The Empire Strikes Back","What creature attacks Luke during his patrol on Hoth?","A wampa","A tauntaun","A rancor","A nexu","A wampa","The wampa carries Luke to its ice cave.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 2 · Film details","The Empire Strikes Back","What animal does Han cut open to keep Luke warm on Hoth?","A bantha","A tauntaun","A dewback","A blurrg","A tauntaun","Tauntauns are the Rebels' mounts on Hoth; Han uses the dead animal for emergency warmth.","https://www.starwars.com/databank/tauntaun"
"Star Wars 2 · Film details","The Empire Strikes Back","What treatment helps Luke recover at Echo Base?","A carbonite chamber","An oil bath","A bacta tank","A stasis net","A bacta tank","Bacta is a healing substance used to treat Luke's injuries.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","The Empire Strikes Back","Which commander leads the Imperial ground assault on Hoth?","Grand Moff Tarkin","Admiral Ozzel","Captain Needa","General Veers","General Veers","Veers commands the walkers; fleet officers oversee the space blockade.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","The Empire Strikes Back","What gas does Cloud City mine?","Tibanna","Coaxium","Bacta","Rhydonium","Tibanna","Cloud City extracts tibanna gas from Bespin's lower atmosphere.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","The Empire Strikes Back","To which bounty hunter does Vader specifically say ""No disintegrations""?","Dengar","Boba Fett","Bossk","Zuckuss","Boba Fett","Vader wants the Falcon's passengers alive and singles out Boba.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","The Empire Strikes Back","What is the name of Vader's Super Star Destroyer flagship?","Ravager","Devastator","Executor","Chimaera","Executor","Executor is Vader's flagship; Devastator pursues Leia in A New Hope.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","The Empire Strikes Back","Who restores the Falcon's hyperdrive during its escape from Bespin?","Han Solo","Lando Calrissian","C-3PO","R2-D2","R2-D2","R2-D2 discovers the Imperials disabled the hyperdrive and reactivates it.","https://www.starwars.com/databank/millennium-falcon"
"Star Wars 2 · Film details","Return of the Jedi","Which creature does Luke fight beneath Jabba's throne room?","A rancor","A sarlacc","A dianoga","An acklay","A rancor","The rancor lives in Jabba's pit; the sarlacc lives outside in the desert.","https://www.starwars.com/databank/rancor"
"Star Wars 2 · Film details","Return of the Jedi","Which creature inhabits the Great Pit of Carkoon?","A krayt dragon","A sarlacc","A wampa","A reek","A sarlacc","Jabba sentences his prisoners to the sarlacc in the Dune Sea.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 2 · Film details","Return of the Jedi","What explosive does the disguised Leia use to threaten Jabba?","A proton torpedo","A seismic charge","A thermal detonator","An ion mine","A thermal detonator","Leia, disguised as Boushh, produces a thermal detonator during negotiations.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 2 · Film details","Return of the Jedi","What temporary disability does Han experience after leaving carbonite?","Deafness","Loss of speech","Amnesia","Blindness","Blindness","Hibernation sickness temporarily leaves Han unable to see.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 2 · Film details","Return of the Jedi","Which stolen Imperial shuttle carries Han's team to Endor?","Tydirium","Tantive IV","Rogue One","The Phantom","Tydirium","Tydirium is a Lambda-class shuttle with an older clearance code.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
